Profile Name,Title Description,Device,Playback Start Utc Ts,Country,Playtraces
Onur ps5,The Godfather_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:26:06,TR,"[{""eventType"":""start"",""sessionOffsetMs"":3,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":1051,""mediaOffsetMs"":0},{""eventType"":""paused"",""sessionOffsetMs"":2677,""mediaOffsetMs"":1524},{""eventType"":""stopped"",""sessionOffsetMs"":3037,""mediaOffsetMs"":1558}]"
Onur ps5,Hazine_hook_02_16x9,Chrome PC (Cadmium),2023-11-24 20:25:49,TR,"[{""eventType"":""start"",""sessionOffsetMs"":17,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":681,""mediaOffsetMs"":0}]"
Onur ps5,Hazine_hook_02_16x9,Chrome PC (Cadmium),2023-11-24 20:25:44,TR,"[{""eventType"":""start"",""sessionOffsetMs"":31,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":604,""mediaOffsetMs"":0}]"
Onur ps5,The Dictator_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:25:29,TR,"[{""eventType"":""start"",""sessionOffsetMs"":18,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":542,""mediaOffsetMs"":0}]"
Onur ps5,Moment of High Emotion Clip: The Killer,Chrome PC (Cadmium),2023-11-24 20:25:14,TR,"[{""eventType"":""start"",""sessionOffsetMs"":10,""mediaOffsetMs"":158},{""eventType"":""playing"",""sessionOffsetMs"":528,""mediaOffsetMs"":158},{""eventType"":""paused"",""sessionOffsetMs"":9697,""mediaOffsetMs"":9171},{""eventType"":""playing"",""sessionOffsetMs"":10532,""mediaOffsetMs"":9281},{""eventType"":""paused"",""sessionOffsetMs"":13087,""mediaOffsetMs"":11668},{""eventType"":""stopped"",""sessionOffsetMs"":13439,""mediaOffsetMs"":11831}]"
Onur ps5,Moment of High Emotion Clip: The Killer,Chrome PC (Cadmium),2023-11-24 20:25:12,TR,"[{""eventType"":""start"",""sessionOffsetMs"":35,""mediaOffsetMs"":15},{""eventType"":""playing"",""sessionOffsetMs"":835,""mediaOffsetMs"":15},{""eventType"":""paused"",""sessionOffsetMs"":1020,""mediaOffsetMs"":156},{""eventType"":""stopped"",""sessionOffsetMs"":1253,""mediaOffsetMs"":158}]"
Onur ps5,Aile Arasında_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:25:08,TR,"[{""eventType"":""start"",""sessionOffsetMs"":11,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":629,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":975,""mediaOffsetMs"":216}]"
Onur ps5,The Wedding Ringer_hook_primary_16x9,Chrome PC (Cadmium),2023-11-24 20:25:07,TR,"[{""eventType"":""start"",""sessionOffsetMs"":31,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":773,""mediaOffsetMs"":0}]"
Onur ps5,Sensory Clip: The Elephant Whisperers,Chrome PC (Cadmium),2023-11-24 20:25:02,TR,"[{""eventType"":""start"",""sessionOffsetMs"":4,""mediaOffsetMs"":0},{""eventType"":""playing"",""sessionOffsetMs"":763,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":1093,""mediaOffsetMs"":202}]"
Onur ps5,Hava Muhalefeti_hook_04_16x9,Chrome PC (Cadmium),2023-11-24 20:25:02,TR,"[{""eventType"":""start"",""sessionOffsetMs"":25,""mediaOffsetMs"":0},{""eventType"":""stopped"",""sessionOffsetMs"":565,""mediaOffsetMs"":0}]"
